entity_name,entity_removal_method,entity_removal_rate,number_of_annotations,number_of_surfaceforms,number_of_entity_annotations_after_removal,number_of_surfaceforms_after_removal,test_precision,test_recall,test_f1,seed,Model,erosion_rate,misguidance_rate
Gene,remove_annotations_randomly,0.1,82803.0,28109.0,74523.0,23111.0,0.694386254470048,0.7742179021374982,0.7321322996263038,42,BiLSTM-Partial-CRF,0.05681091433230636,-0.05282415061555078
Gene,remove_annotations_randomly,0.1,82803.0,28109.0,74523.0,23031.0,0.6979638251764756,0.7674703911668947,0.7310687357432607,42,BiLSTM-Partial-CRF,0.0581810790510445,-0.054355806514707485
Gene,remove_annotations_randomly,0.1,82803.0,28109.0,74523.0,23158.0,0.6970890079390692,0.7644033407257114,0.7291959714173184,42,BiLSTM-Partial-CRF,0.06059371795955623,-0.05706366560703484
Gene,remove_annotations_randomly,0.1,82803.0,28109.0,74523.0,23062.0,0.6917408787553422,0.7751852026612561,0.7310897257606942,42,BiLSTM-Partial-CRF,0.05815403809770675,-0.05432553533734026
Gene,remove_annotations_randomly,0.1,82803.0,28109.0,74523.0,23026.0,0.7015817526596319,0.7670457226442693,0.7328547116435808,42,BiLSTM-Partial-CRF,0.05588024766127067,-0.05178632851193291
CellLine,remove_surfaceforms_randomly,0.1,2500.0,1419.0,2245.0,1385.0,0.5801232665639445,0.6033653846153846,0.5915161036920659,42,BiLSTM-Partial-CRF,0.1666467993290272,-0.13861134579852083
Chemical,remove_annotations_randomly,0.1,114579.0,29908.0,103121.0,23752.0,0.8026522220203789,0.8587557644398113,0.8297567221510884,42,BiLSTM-Partial-CRF,0.05634954714199943,-0.04675624636436429
Species,remove_surfaceforms_randomly,0.1,5290.0,1567.0,4506.0,1560.0,0.6998327759197325,0.5790383950190245,0.6337308347529812,42,BiLSTM-Partial-CRF,0.17969286448340446,-0.08138524212035113
Chemical,remove_annotations_randomly,0.1,114579.0,29908.0,103121.0,23762.0,0.8043197830185559,0.859303496651766,0.8309030180330249,42,BiLSTM-Partial-CRF,0.055045908859570836,-0.04531216402435879
Chemical,remove_annotations_randomly,0.1,114579.0,29908.0,103121.0,23727.0,0.8023083508956796,0.8609820308496917,0.8306103142338473,42,BiLSTM-Partial-CRF,0.05537878964893173,-0.04568052790871372
Chemical,remove_annotations_randomly,0.1,114579.0,29908.0,103121.0,23731.0,0.8004049182756408,0.8591798151845504,0.8287515977844057,42,BiLSTM-Partial-CRF,0.05749263648189645,-0.048025770564391126
CellLine,remove_annotations_randomly,0.1,2500.0,1419.0,2250.0,1218.0,0.6365914786967418,0.6105769230769231,0.6233128834355829,42,BiLSTM-Partial-CRF,0.12185013529080807,-0.10934815561302666
CellLine,remove_surfaceforms_randomly,0.1,2500.0,1419.0,2213.0,1386.0,0.6329113924050633,0.6009615384615384,0.6165228113440197,42,BiLSTM-Partial-CRF,0.1314162794329067,-0.09242826784961201
CellLine,remove_annotations_randomly,0.1,2500.0,1419.0,2250.0,1227.0,0.6633333333333333,0.6378205128205128,0.6503267973856209,42,BiLSTM-Partial-CRF,0.08379177726403503,-0.06326696114766336
CellLine,remove_annotations_randomly,0.1,2500.0,1419.0,2250.0,1211.0,0.6268774703557313,0.6354166666666666,0.6311181854357342,42,BiLSTM-Partial-CRF,0.11085369180697048,-0.09562838397961648
Disease,remove_surfaceforms_randomly,0.1,14227.0,4238.0,12740.0,4179.0,0.7663767328078283,0.7520672179247799,0.7591545503500269,42,BiLSTM-Partial-CRF,0.10865230995402533,-0.061949484232879784
Species,remove_annotations_randomly,0.1,5290.0,1567.0,4761.0,1256.0,0.7361111111111112,0.7149775164303009,0.7253904193718197,42,BiLSTM-Partial-CRF,0.06104783858589081,-0.05077895714602989
Disease,remove_surfaceforms_randomly,0.1,14227.0,4238.0,12814.0,4158.0,0.7633293445020609,0.7656708455588157,0.7644983021506092,42,BiLSTM-Partial-CRF,0.10237803968661811,-0.05452658420480494
Disease,remove_annotations_randomly,0.1,14227.0,4238.0,12804.0,3344.0,0.7675073457394711,0.8360896238997065,0.8003319290182561,42,BiLSTM-Partial-CRF,0.06030462983915079,-0.04840620665947857
Disease,remove_annotations_randomly,0.1,14227.0,4238.0,12804.0,3336.0,0.7696984737560492,0.8272872766070952,0.7974545220800926,42,BiLSTM-Partial-CRF,0.06368308555211696,-0.05218910738864729
CellLine,remove_surfaceforms_randomly,0.1,2500.0,1419.0,2230.0,1390.0,0.6138775510204082,0.6025641025641025,0.6081682167408007,42,BiLSTM-Partial-CRF,0.1431865898427911,-0.10743529232039264
Species,remove_annotations_randomly,0.1,5290.0,1567.0,4761.0,1254.0,0.7287784679089027,0.7305430646835005,0.7296596994299535,42,BiLSTM-Partial-CRF,0.05552164244211172,-0.04463079019812955
Disease,remove_annotations_randomly,0.1,14227.0,4238.0,12804.0,3368.0,0.7692975924547034,0.8267538010136036,0.7969915145281564,42,BiLSTM-Partial-CRF,0.06422671755919887,-0.05280037048731949
